attack,dataset,model,defense,f1_clean,f1_attacked,delta_f1
clean,sms_uci,minilm_lr.joblib,normalize,0.9130434782608695,0.9130434782608695,0.0
obfuscate,sms_uci,minilm_lr.joblib,normalize,0.9130434782608695,0.6956521739130435,-0.21739130434782605
paraphrase_like,sms_uci,minilm_lr.joblib,normalize,0.9130434782608695,0.9130434782608695,0.0
prompt_injection,sms_uci,minilm_lr.joblib,normalize,0.9130434782608695,0.9379310344827586,0.024887556221889096
clean,sms_uci,minilm_lr.joblib,none,0.9517241379310345,0.9517241379310345,0.0
obfuscate,sms_uci,minilm_lr.joblib,none,0.9517241379310345,0.8970588235294118,-0.0546653144016227
paraphrase_like,sms_uci,minilm_lr.joblib,none,0.9517241379310345,0.9295774647887324,-0.02214667314230212
prompt_injection,sms_uci,minilm_lr.joblib,none,0.9517241379310345,0.9078947368421053,-0.04382940108892919
clean,sms_uci,spamassassin_minilm_lr.joblib,normalize,0.11027568922305764,0.11027568922305764,0.0
obfuscate,sms_uci,spamassassin_minilm_lr.joblib,normalize,0.11027568922305764,0.14018691588785046,0.029911226664792817
paraphrase_like,sms_uci,spamassassin_minilm_lr.joblib,normalize,0.11027568922305764,0.1111111111111111,0.000835421888053467
prompt_injection,sms_uci,spamassassin_minilm_lr.joblib,normalize,0.11027568922305764,0.1875,0.07722431077694236
clean,sms_uci,spamassassin_minilm_lr.joblib,none,0.1346153846153846,0.1346153846153846,0.0
obfuscate,sms_uci,spamassassin_minilm_lr.joblib,none,0.1346153846153846,0.12935323383084577,-0.005262150784538844
paraphrase_like,sms_uci,spamassassin_minilm_lr.joblib,none,0.1346153846153846,0.13106796116504854,-0.003547423450336068
prompt_injection,sms_uci,spamassassin_minilm_lr.joblib,none,0.1346153846153846,0.19310344827586207,0.05848806366047746
clean,sms_uci,spamassassin_tfidf_char_svm.joblib,normalize,0.2235294117647059,0.2235294117647059,0.0
obfuscate,sms_uci,spamassassin_tfidf_char_svm.joblib,normalize,0.2235294117647059,0.21406727828746178,-0.009462133477244117
paraphrase_like,sms_uci,spamassassin_tfidf_char_svm.joblib,normalize,0.2235294117647059,0.1901840490797546,-0.03334536268495128
prompt_injection,sms_uci,spamassassin_tfidf_char_svm.joblib,normalize,0.2235294117647059,0.19480519480519481,-0.02872421695951108
clean,sms_uci,spamassassin_tfidf_char_svm.joblib,none,0.22356495468277945,0.22356495468277945,0.0
obfuscate,sms_uci,spamassassin_tfidf_char_svm.joblib,none,0.22356495468277945,0.20447284345047922,-0.01909211123230023
paraphrase_like,sms_uci,spamassassin_tfidf_char_svm.joblib,none,0.22356495468277945,0.16720257234726688,-0.05636238233551258
prompt_injection,sms_uci,spamassassin_tfidf_char_svm.joblib,none,0.22356495468277945,0.18181818181818182,-0.04174677286459763
clean,sms_uci,spamassassin_tfidf_word_lr.joblib,normalize,0.2789317507418398,0.2789317507418398,0.0
obfuscate,sms_uci,spamassassin_tfidf_word_lr.joblib,normalize,0.2789317507418398,0.25925925925925924,-0.019672491482580545
paraphrase_like,sms_uci,spamassassin_tfidf_word_lr.joblib,normalize,0.2789317507418398,0.2138364779874214,-0.0650952727544184
prompt_injection,sms_uci,spamassassin_tfidf_word_lr.joblib,normalize,0.2789317507418398,0.2781954887218045,-0.0007362620200352943
clean,sms_uci,spamassassin_tfidf_word_lr.joblib,none,0.28402366863905326,0.28402366863905326,0.0
obfuscate,sms_uci,spamassassin_tfidf_word_lr.joblib,none,0.28402366863905326,0.26625386996904027,-0.017769798670012993
paraphrase_like,sms_uci,spamassassin_tfidf_word_lr.joblib,none,0.28402366863905326,0.225,-0.059023668639053256
